,gen,infecor,infecting
1,0,10,61
2,14,10,74
3,21,11,77
4,25,10,6
5,34,14,50
6,47,11,2
7,63,11,92
8,71,11,53
9,80,12,29
10,98,61,72
11,100,14,46
12,109,10,4
13,113,11,7
14,116,6,58
15,123,12,73
16,171,6,19
17,175,13,43
18,185,29,57
19,187,29,28
20,207,7,78
21,214,72,18
22,217,73,67
23,217,73,38
24,217,73,67
25,217,73,38
26,217,73,67
27,240,58,34
28,245,77,56
29,248,72,55
30,259,50,45
31,263,19,87
32,276,19,80
33,279,2,98
34,293,78,69
35,298,78,1
36,299,38,82
37,306,61,93
38,309,58,86
39,310,53,25
40,317,73,76
41,332,58,79
42,335,34,0
43,338,34,27
44,350,45,40
45,360,67,97
46,373,98,88
47,380,80,83
48,414,76,44
49,427,93,47
50,483,40,41
51,501,27,39
52,515,27,16
53,548,27,95
